Date,Open,High,Low,Close,Volume,Adj Close
2012-10-23,5882.90,5893.40,5789.00,5797.90,654156800,5797.90
2012-10-22,5896.20,5911.00,5869.90,5882.90,540270400,5882.90
2012-10-19,5917.10,5919.70,5892.20,5896.20,829321100,5896.20
2012-10-18,5910.90,5928.30,5896.50,5917.10,869993300,5917.10
2012-10-17,5870.50,5915.60,5868.70,5910.90,903398900,5910.90
2012-10-16,5805.60,5878.10,5805.60,5870.50,877624500,5870.50
2012-10-15,5793.30,5827.90,5786.00,5805.60,695435700,5805.60
2012-10-12,5829.80,5829.80,5793.30,5793.30,888088200,5793.30
2012-10-11,5776.70,5846.30,5766.70,5829.80,693356400,5829.80
2012-10-10,5810.30,5810.50,5776.70,5776.70,681615400,5776.70
2012-10-09,5841.70,5856.40,5795.20,5810.30,574468400,5810.30
2012-10-08,5871.00,5871.00,5818.80,5841.70,492224100,5841.70
2012-10-05,5827.80,5885.60,5827.60,5871.00,883077400,5871.00
2012-10-04,5825.80,5854.20,5803.20,5827.80,817156300,5827.80
2012-10-03,5809.50,5832.50,5785.00,5825.80,606196800,5825.80
2012-10-02,5820.50,5840.40,5781.40,5809.50,704898700,5809.50
2012-10-01,5742.10,5843.50,5738.60,5820.50,690293800,5820.50
2012-09-28,5779.40,5807.80,5740.50,5742.10,745469400,5742.10
2012-09-27,5768.10,5804.10,5763.00,5779.40,545045200,5779.40
2012-09-26,5859.70,5859.70,5751.40,5768.10,685626300,5768.10
2012-09-25,5838.80,5869.20,5828.30,5859.70,737347700,5859.70
2012-09-24,5852.60,5852.60,5806.10,5838.80,736974100,5838.80
2012-09-21,5854.60,5887.60,5838.90,5852.60,1202461200,5852.60
2012-09-20,5888.50,5888.50,5824.40,5854.60,656511300,5854.60
2012-09-19,5868.20,5894.40,5861.00,5888.50,704137700,5888.50
2012-09-18,5893.50,5893.50,5837.50,5868.20,802597700,5868.20
2012-09-17,5915.60,5915.70,5883.20,5893.50,691683900,5893.50
2012-09-14,5819.90,5932.60,5819.90,5915.60,1506216700,5915.60
2012-09-13,5782.10,5826.60,5770.30,5819.90,819530100,5819.90
2012-09-12,5792.20,5821.20,5757.60,5782.10,1101683900,5782.10
2012-09-11,5793.20,5796.60,5764.20,5792.20,779957800,5792.20
2012-09-10,5794.80,5806.80,5777.10,5793.20,672891000,5793.20
2012-09-07,5777.30,5807.60,5772.90,5794.80,1271438400,5794.80
2012-09-06,5657.90,5786.00,5657.90,5777.30,1097422200,5777.30
2012-09-05,5672.00,5675.90,5634.90,5657.90,737252900,5657.90
2012-09-04,5758.40,5758.40,5658.30,5672.00,628708300,5672.00
2012-09-03,5711.50,5758.40,5701.10,5758.40,394561500,5758.40
2012-08-31,5719.50,5763.80,5708.00,5711.50,851664900,5711.50
2012-08-30,5743.50,5743.50,5705.70,5719.50,479116800,5719.50
2012-08-29,5775.70,5775.80,5739.20,5743.50,523480600,5743.50
2012-08-28,5776.60,5779.50,5749.80,5775.70,524544700,5775.70
2012-08-27,5776.60,5776.60,5776.60,5776.60,000,5776.60
2012-08-24,5776.60,5791.40,5739.40,5776.60,487763900,5776.60
2012-08-23,5774.20,5809.30,5764.00,5776.60,636105200,5776.60
2012-08-22,5857.50,5857.50,5771.20,5774.20,535193100,5774.20
2012-08-21,5824.40,5872.60,5824.40,5857.50,501843600,5857.50
2012-08-20,5852.40,5857.50,5802.90,5824.40,692842000,5824.40
2012-08-17,5834.50,5854.70,5834.40,5852.40,731769500,5852.40
2012-08-16,5833.00,5846.70,5811.30,5834.50,587033800,5834.50
2012-08-15,5864.80,5864.80,5822.30,5833.00,560382800,5833.00
2012-08-14,5831.90,5876.20,5831.90,5864.80,627904000,5864.80
2012-08-13,5847.10,5852.80,5813.60,5831.90,410230200,5831.90
2012-08-10,5851.50,5858.60,5827.70,5847.10,466836800,5847.10
2012-08-09,5845.90,5860.20,5828.40,5851.50,741075800,5851.50
2012-08-08,5841.20,5845.90,5801.10,5845.90,588922600,5845.90
2012-08-07,5808.80,5841.20,5785.00,5841.20,779689000,5841.20
2012-08-06,5787.30,5837.60,5767.10,5808.80,613098000,5808.80
2012-08-03,5662.30,5794.00,5662.30,5787.30,748571600,5787.30
2012-08-02,5712.80,5765.80,5657.30,5662.30,805200700,5662.30
2012-08-01,5635.30,5712.80,5633.00,5712.80,554180400,5712.80
2012-07-31,5693.60,5695.50,5635.30,5635.30,645790800,5635.30
2012-07-30,5627.20,5706.50,5625.70,5693.60,648632900,5693.60
2012-07-27,5573.20,5631.00,5550.90,5627.20,732786100,5627.20
2012-07-26,5498.30,5594.50,5478.00,5573.20,817687800,5573.20
2012-07-25,5499.20,5526.10,5478.00,5498.30,621394800,5498.30
2012-07-24,5533.90,5556.60,5487.00,5499.20,551196900,5499.20
2012-07-23,5651.80,5651.80,5510.90,5533.90,691607200,5533.90
2012-07-20,5714.20,5714.20,5644.90,5651.80,961834500,5651.80
2012-07-19,5685.80,5718.60,5685.80,5714.20,711475200,5714.20
2012-07-18,5629.10,5688.30,5624.50,5685.80,669962500,5685.80
2012-07-17,5662.40,5676.50,5621.20,5629.10,602763200,5629.10
2012-07-16,5666.10,5670.60,5640.90,5662.40,569289800,5662.40
